"","WFC.Open","WFC.High","WFC.Low","WFC.Close","WFC.Volume","WFC.Adjusted","id"
"2016-02-03",48.450001,48.509998,46.509998,47.599998,47149700,47.238238,274
"2016-02-04",47.400002,48.610001,47.369999,48.25,30851700,47.8833,275
"2016-02-05",48.349998,48.66,47.599998,47.860001,23733700,47.496264,276
"2016-02-08",47.110001,47.34,46.060001,46.5,31172100,46.1466,277
"2016-02-09",45.610001,46.759998,45.360001,46.450001,29896200,46.09698,278
"2016-02-10",46.880001,47.220001,46.110001,46.169998,19885500,45.819106,279
"2016-02-11",44.93,45.529999,44.5,45.16,32570900,44.816783,280
"2016-02-12",45.959999,47.389999,45.93,47.310001,28533900,46.950445,281
"2016-02-16",48.049999,48.41,47.57,48.240002,20410600,47.873377,282
"2016-02-17",48.650002,48.959999,47.990002,48.130001,18060500,47.764213,283
"2016-02-18",48.09,48.139999,47.48,47.73,17162800,47.367251,284
"2016-02-19",47.400002,48.169998,47.34,48.09,18234900,47.724516,285
"2016-02-22",48.09,49.34,48.09,49.189999,17572800,48.816154,286
"2016-02-23",48.869999,48.919998,47.98,48.099998,15224700,47.734438,287
"2016-02-24",47.34,47.68,46.560001,47.610001,18595700,47.248164,288
"2016-02-25",47.709999,48.16,47.709999,47.75,16646200,47.3871,289
"2016-02-26",48.130001,48.540001,47.830002,48.07,20325600,47.704667,290
"2016-02-29",48.029999,48.029999,46.91,46.919998,24018100,46.563406,291
"2016-03-01",47.139999,48.720001,47.139999,48.720001,24758500,48.349729,292
"2016-03-02",48.84,49.57,48.610001,49.57,18667700,49.193267,293
"2016-03-03",49.630001,49.790001,49.07,49.77,14268100,49.391748,294
"2016-03-04",50.009998,50.490002,49.68,50.110001,18685600,49.729164,295
"2016-03-07",49.77,50.16,49.439999,50.07,14386100,49.689467,296
"2016-03-08",49.610001,49.66,48.919998,49.049999,18098200,48.677219,297
"2016-03-09",49.380001,49.5,48.509998,48.790001,17920100,48.419196,298
"2016-03-10",48.939999,49.130001,47.959999,48.509998,18542700,48.141322,299
"2016-03-11",49.119999,50.130001,48.880001,50.07,18318400,49.689467,300
"2016-03-14",49.970001,50.07,49.439999,49.880001,12803900,49.500913,301
"2016-03-15",49.299999,49.990002,49.200001,49.98,12945600,49.600151,302
"2016-03-16",49.75,50.290001,49.279999,49.540001,16629700,49.163496,303
"2016-03-17",49.43,49.93,48.84,49.73,16002800,49.352051,304
"2016-03-18",50.439999,50.700001,49.93,50.540001,35812100,50.155896,305
"2016-03-21",50.5,50.75,50.169998,50.669998,13543200,50.284906,306
"2016-03-22",50.209999,50.580002,50,50.369999,13907000,49.987186,307
"2016-03-23",50.18,50.330002,49.700001,49.759998,13648100,49.381822,308
"2016-03-24",49.02,49.080002,48.52,48.900002,20871100,48.528361,309
"2016-03-28",49.040001,49.040001,48.549999,48.700001,18478100,48.32988,310
"2016-03-29",48.619999,48.650002,47.84,48.049999,24459500,47.684819,311
